contact_name,contact_email,name,location,founded_date,visible,category,target_client,business_model,description,main_url,twitter_url,angellist_url,crunchbase_url,all_tags,codex_presenter,codex_presentation_date
"","",Ontario Small Claims Wizard,"Toronto, ON, Canada",2015,true,Document Automation - ,Individuals,Legal Tech,Assists with filing Ontario Small Claims Court actions,http://smallclaimswizard.com/,"","","","legalx, mars, liz, small claims court, access to justice, a2j, forms, document management",true,2015-06-04
,,Quicklysign,"Cape Town, South Africa",2015,true,Document Automation - ,Unknown,Unknown,"Quicklysign allows businesses to give their staff and customers the freedom to sign documents anytime, anywhere on any device.",quicklysign.com,,,,"",,
,,Quimbee,"New York, NY, USA",2007,true,Legal Education - ,Individuals,Legal Service Using Tech,A better way to learn the law.,https://www.quimbee.com/,https://twitter.com/quimbeedotcom,https://angel.co/quimbee,n/a,legal education,,
,,Quolaw,"Buenos Aires, Brazil",2012,true,Practice Management - ,Unknown,Unknown,"Quolaw is an intuitive, easy-to-use, web-based software as a service that offer a law practice management software tool to help lawyers efficiently manage their legal practice anywhere, anytime.",quolaw.com,,,,"",,
,,RainmakerVT,"Las Vegas, NV, USA",2011,true,Legal Education - ,Unknown,Unknown,RainmakerVT is the first just-in-time online rainmaking training for lawyers.,http://www.rainmakervt.com/,,,,"",,
,,rangefindr,"Toronto, ON, Canada",2015,true,Legal Research - ,Companies,Legal Tech,Researching criminal sentencing ranges,https://www.rangefindr.ca,,,,"criminal, sentencing",,
,,Ravel Law,"San Francisco, CA, USA",2012,true,Legal Research -  Big Data,Service Providers,Legal Service Using Tech,Unravel the law,http://www.ravellaw.com,https://twitter.com/ravellaw,https://angel.co/ravel-1,http://www.crunchbase.com/organization/ravel,research,,
,,RealPractice,"Santa Ana, CA, USA",1900,true,Practice Management - ,Unknown,Unknown,No description yet,http://www.realpractice.com/,,,,"",,
,,Reorg Research,"New York, NY, USA",2014,true,Practice Management - ,Unknown,Unknown,"Reorg Research built a revolutionary technology that is taking away the pain and wasted time spent tracking and following legal dockets for hedge funds, investment banks, asset managers and law firms.",reorg-research.com,,,,"",,
,,Restructuring Concepts,"Los Gatos, CA, USA",2012,true,Analytics - ,Unknown,Unknown,Our company has developed unique capabilities in unlocking the wealth of valuable information from the court filing system.,https://www.chapter11dockets.com/,,,,"",,
,,RETiDoc,"Sofia, Bulgaria",2013,true,Document Automation - ,Unknown,Unknown,Reads and extracts all personal documents,retidoc.com,,,,"",,
,,qodeo,"London, UK",2012,true,Legal Research - ,Unknown,Unknown,"qodeo's mission is to save significant transaction costs and time for, and connect, the global venture community",http://qodeo.com,"","","","",,
,,PitchCast,"New York, NY, USA",2015,true,Document Automation - ,Unknown,Unknown,PitchCast is an multimedia pitch platform designed for established and emerging companies seeking to raise capital with professionally produced and distributed investor pitch materials.,http://pitchcast.co,"","","","",,
,,RION Corp.,"Aurora, IL, USA",2014,true,Practice Management - ,Unknown,Unknown,"RION stands for Real-time Intake Optimization for New-business, and it is based on a need that was seen by our President for a streamlined model to be developed for use by law firms around the world.",rioncorp.com,,,,"",,
,,"RiverGlass, Inc.","Champaign, IL, USA",2003,true,Analytics - ,Unknown,Unknown,"RiverGlass, Inc. provides information collection and analysis solutions. The Company delivers information collection, data management and analysis software solutions to a list of fortune 1000 companies, to government agencies and commands in defense, intelligence and law enforcement as well as ediscovery and risk management applications to corporations and law firms. The Company's products include riverglass solutions for ediscovery; riverglass solutions for fusion centers; and it also offers custom solutions such as intelligent web monitor for monitoring meaningful internet information; intelligent enterprise search for monitoring meaningful unstructured internal data; and intelligent data connections for identifying and visualizing connections between entities.",http://www.riverglassinc.com,,,https://www.crunchbase.com/organization/riverglass-inc,"",,
,,Rnovo,"Santiago, Chile",2014,true,Document Automation - ,Unknown,Unknown,"Register your trademark in an easy, comprehensible and secure way, at an unbeatable price. We guide you through the process in a friendly and intuitive manner, so you can forget about concerns and uncertainties. We bring you the best monitoring service during the application process.",rnovo.cl,,,,"",,
,,RocketLawyer,"San Francisco, CA, USA",2008,true,Document Automation - ,Individuals,Legal Service Using Tech,Everything you need to make it legal.,https://www.rocketlawyer.com/,https://twitter.com/rocketlawyer,https://angel.co/rocketlawyer,http://www.crunchbase.com/organization/rocketlawyer,"documents, wills, estates, forms",,
,,RocketMatter,"Boca Raton, FL, USA",2007,true,Practice Management - ,Service Providers,Legal Tech,Legal productivity software.,https://www.rocketmatter.com/,https://twitter.com/rocketmatter,https://angel.co/rocket-matter-llc,http://www.crunchbase.com/organization/rocket-matter,"practice management, productivity",,
,,RSVP Law,Studio City,2012,true,Marketplace - ,Individuals,Legal Service Using Tech,Free Help To Find and Connect With Attorneys,http://rsvplaw.com/,https://twitter.com/rsvplaw,n/a,http://www.crunchbase.com/organization/rsvp-law,"web, find-a-lawyer",,
,,Shake,"New York, NY, USA",2012,true,Document Automation -  Mobile,Companies,Legal Tech,"Create, Sign, and Send legally binding agreements on your phone.",http://www.shakelaw.com,https://twitter.com/shakelaw,https://angel.co/shake-1,http://www.crunchbase.com/organization/shake,"documents, contracts, signing, mobile, app",,
"","",Shoobx,"Boston, MA, USA",2014,true,Document Automation - ,Unknown,Unknown,Shoobx is a legal process engine built to simplify standard corporate workflows so entrepreneurs can focus on what they care about most: their company.,shoobx.com,"","","","",true,2015-03-05
Tucker Cottingham,Tucker@mystacks.co,"Mystacks, Inc.","San Francisco, CA",2016,true,Document Automation - ,Unknown,Unknown,A.I. document drafting assistant for lawyers.,www.lawyaw.com,@golawyaw,"","","document generation, machine learning, artificial intelligence",false,
,,Sky Analytics,"Boston, MA, USA",2009,true,Analytics - ,Companies,Legal Service Using Tech,Better manage legal spend,http://www.skyanalytics.com/,https://twitter.com/lawspendclarity,https://angel.co/sky-analytics,http://www.crunchbase.com/organization/sky-analytics,"billing, management",,
,,Smokeball,"Chicago, IL, USA",2011,true,Practice Management - ,Service Providers,Legal Tech,Software for small law firms.,http://www.smokeball.com/,https://twitter.com/SmokeballNews,n/a,n/a,"practice management, small firm",,
,,Snap Law,"Alpharetta, GA, USA",2013,true,Legal Education - ,Service Providers,Legal Service Using Tech,Law School Made Awesome,https://snaplaw.co/,https://twitter.com/SnapLaw,n/a,n/a,legal education,,
,,Snapterms,"Scottsdale, AZ, USA",2011,true,Document Automation - ,Companies,Legal Tech,Terms of service as a service,http://snapterms.com,https://twitter.com/Snapterms,https://angel.co/snapterms,http://www.crunchbase.com/organization/snapterms,"documents, automation, document generation, terms of service",,
,,SourceHOV LLC,"Coppell, TX, USA",2007,true,Document Automation - ,Unknown,Unknown,"SourceHOV LLC is a United States-based company, which provides business process solutions, strategic consulting and data analytics services to a range of industries including healthcare, financial services, legal, government, publishing, manufacturing, retail and other commercial companies. The Company offers a suite of electronic document distribution, remittance processing, and data file download services that can be incorporated into marketing program mailings, insurance solutions, and other Transaction Processinges. Its integrated print and mail solutions also include database management, creating mailing lists that are functional and effective, and its clients can manage all aspects of their print and fulfillment online through its portal and simplified processes.",http://www.sourcehov.com/,,,https://www.crunchbase.com/organization/source-corp,"",,
,,Speedy Counsel,"Baltimore, MD, USA",2014,true,Marketplace - ,Unknown,Unknown,"SpeedyCounsel is the fastest and most affordable way for start-ups, entrepreneurs and individuals to consult with an attorney.",http://www.speedycounsel.com/,,,,"",,
,,Stampery,"Madrid, Spain",2015,true,Document Automation - ,Unknown,Unknown,No description yet,stampery.co,,,,"",,
,,Sanza,"San Francisco, CA, USA",2014,true,Marketplace - ,Unknown,Unknown,Find affordable consultations with proven immigration attorneys.,http://sanza.co,"","","","",,
,,Rghtly,"New York, NY, USA",2014,true,Marketplace - ,Unknown,Unknown,Mobile application on the Android platform for on-the-spot answers to business and consumer issues.,http://rghtly.com,"","","","",,
,,Shortsaleopedia,"Phoenix, AZ, USA",2012,true,Document Automation - ,Unknown,Unknown,Short sales are a superior alternative to foreclosure for homeowners of distressed properties,http://shortsaleopedia.com/,"","","","",,
,,StartDireito,"Sao Paulo, Brazil",2013,true,Marketplace - ,Unknown,Unknown,"StartDireito is a legal project to provide assistance to startups, entrepreneurs and investors in Brazil. Expertise in transactional business matters, corporate law, M&A and securities law.",http://www.startdireito.com.br/,,,,"",,
"","",RightsFlow,"New York, NY, USA",2008,true,Compliance - ,Unknown,Unknown,"RightsFlow supports YouTube and Google Play by simplifying music licensing through song identification, monetization, reporting and payment efforts.",http://rightsflow.com,"","","","",false,
,,Startup Quest,"Boulder, CO, USA",2012,true,Legal Education - ,Unknown,Unknown,"Startup Quest is a gamified (badges, rewards, etc) e-learning platform that provides customers with a sequential video library of entrepreneurial-to-entrepreneurial (e2e) advice as well as a document library of legal and financial templates.",http://www.startupquest.com/,,,,"",,
,,Structured Market,"Las Vegas, NV, USA",2014,true,Marketplace - ,Unknown,Unknown,Structured Market is a one of a kind online marketplace where investors can purchase structured settlement payouts without the hassle of litigation or stringent regulations.,http://structuredmarket.com/,,,,"",,
,,SubroFlash,Lubbock,2011,true,Legal Research - ,Unknown,Unknown,SubroFlash is a start up which offers web based subscription access to a comprehensive record of subrogation data claim information specifically designed to provide accurate subrogation collection data to all parties of a personal injury claim.,subroflash.com,,,,"",,
,,SupportPay,"Santa Clara, CA, USA",2010,true,Document Automation - ,Individuals,Legal Service Using Tech,The first-ever automated child support payment platform.,http://supportpay.com/,https://twitter.com/supportpayapp,https://angel.co/supportpay,http://www.crunchbase.com/organization/supportpay,"child-support, divorce",,
,,Suralink,Salt Lake City,2014,true,Document Automation - ,Unknown,Unknown,Suralink updates and perfects the document request and retrieval process between professional firms and their clients.,suralink.com,,,,"",,
,,Swiftcourt,Helsingborg,2014,true,Online Dispute Resolution - ,Unknown,Unknown,"Swiftcourt is an online dispute resolution system, based on innovative arbitration, designed for consumers and/or businesses to facilitate arbitration processes.",swiftcourt.se,,,,"",,
,,Syngrafii,"Toronto, ON, Canada",2015,true,Document Automation - ,Companies,Legal Tech,Signing and contract execution (e-signatures),http://www.syngrafii.com/,,,https://www.crunchbase.com/organization/syngraffii#/entity,"legalx, mars, contract signing, contract execution, e-contracts",,
,,Tapdox,"Austin, TX, USA",2012,true,Document Automation -  Signing,Companies,Legal Tech,Frictionless Contract Execution,http://tapdox.com/,https://twitter.com/@tapdox,https://angel.co/tapdox,http://www.crunchbase.com/organization/tapdox,"documents, contracts, signing, apps",,
,,Task Central,"Melbourne, Australia",2014,true,Marketplace - ,Unknown,Unknown,"We provide enterprise with secure, customisable internal marketplace's for employees to post tasks, short term projects and secondments.ÛÜ",http://www.taskcentral.com.au/,,,,"",,
Leila Banijamali,leila@startupdocuments.com,Startup Documents,"San Francisco, CA, USA",2014,true,Document Automation - ,Unknown,Unknown,Startup Documents is an online incorporation service and document generator for lawyers and high-growth technology startups.,http://www.startupdocuments.com/,"","","","",true,2016-03-31
,,Swarm,"Palo Alto, CA, USA",2014,true,Document Automation - ,Unknown,Unknown,Swarm delivers shared equity with blockchain technology for the sharing economy.,http://www.swarm.fund/,"","","","",,
"","",TrackMyLeads,"Atlanta, Georgia, United States",2013,true,Practice Management - ,Unknown,Unknown,"TrackMyLeads is a call tracking and client intake management app.

TrackMyLeads helps you capture intelligence so you can optimize your marketing and advertising campaigns and convert more leads into sales.

One of the key solutions is centered on Legal Intake Management. Law Firms needs to track where their calls are coming from and also need a way to manage new potential clients. With TrackMyLeads, law firms can easily see how many new calls they get on a daily basis, how many clients they sign up as a result and what each client has cost the firm to obtain. It shows true Cost Per Lead (CPL) and Client Acquisition Cost (CAC) amounts.",http://trackmyleads.com/,@trackmyleads,https://angel.co/trackmyleads,https://www.crunchbase.com/organization/trackmyleads#section-overview,"",false,
"","",Ticket Warrior,"Toronto, ON, Canada",2015,true,Document Automation - ,Unknown,Unknown,"Ticket Warrior is the best way to get rid of your parking tickets in Toronto. Providing you with a seamless experience from start to finish. It's as simple as downloading the app, snapping a photo of your ticket, and leaving the rest to one of our warriors.",ticketwarrior.me,"",https://angel.co/ticket-warrior-1,https://www.crunchbase.com/organization/ticket-warrior#section-overview,"",false,
"","",TermSheet.io,"Chennai, India",2013,true,Document Automation - ,Unknown,Unknown,"TermSheet is an online platform that connects angels and founders in order to help them close seed financing rounds, entirely online. It allows angel investors to join a seed round, review confidential information about a company, and quickly determine whether they wish to participate in the round or not. Created by Humble Paper, the company charges a small fee for investors to sign up. TermSheet was founded in 2013 and is based in California, United States.",termsheet.io,@term_sheet,"",https://www.crunchbase.com/organization/termsheet-io#section-overview,"",false,
"","",Terminis,"London, UK",2013,true,Document Automation - ,Unknown,Unknown,"Terminis keeps your online contents and legal texts permanently tracked and generates bullet-proof evidences on - what your users accept when they buy or use your website, - what contents you publish on internet, - your announcements or claims on your website, - what people say about you in other websites",terminis.com,"",https://angel.co/terminis,"","",false,
"","",TenderScout,"Dublin, Ireland",2013,true,Practice Management - ,Unknown,Unknown,"TenderScout SaaS is, the A to Z solution for finding, qualifying and competing for government contracting opportunities.

Used by small and medium sized companies around the world, TenderScout eliminates the barriers to participation and increases win-rates and revenues achieved from bid/tender competitions.",http://www.tenderscout.com/,@tenderscout,https://angel.co/tenderscout-1,https://www.crunchbase.com/organization/tenderscout,"",false,
,,Clault,Singapore,2014,true,Practice Management - ,Unknown,Unknown,Clault provides Joyfully Simple File SecurityÛ through our privacy apps Cloak and Kryptos.,clault.com,"","","","",,
"",vt-general@voltaireapp.com,Voltaire,"Denver, CO, USA",2014,true,Practice Management - ,Unknown,Legal Tech,Voltaire helps you pick winning juries. Using social & behavioral analytics we provide actionable information delivered into the courtroom on-demand.,voltaireapp.com,@VoltaireApp,https://angel.co/voltaire-1,https://www.crunchbase.com/organization/voltaire-2,"",false,
"","",vLex,"Barcelona, Spain",1998,true,Legal Research - ,Unknown,Unknown,"Global legal research platform. Content coverage across 132+ countries, editorial content from 1,000+ sources and cutting edge smart-search technology.",vlex.com,@vlex,https://angel.co/vlex,https://www.crunchbase.com/organization/vlex,"",false,
"","",VisaEase,"Austin, TX, USA",2014,true,Document Automation - ,Unknown,Unknown,"It is an online software solution that steps people through the process of completing US Green Card, Citizenship or Visa applications.",visaease.com,@VisaEase,https://angel.co/visaease-2,https://www.crunchbase.com/organization/visaease,"",false,
"",info@virtualpaymentsystem.com,Virtual Payment Systems,"Indianapolis, Indiana",2007,true,Practice Management -  Transactions,Unknown,Legal Tech,"Making payments should be easy for customers and getting paid should be easy for you. At VPS they provide great payment processing services, fanatical customer service and some of the most innovative solutions on the market. 

- Traditional merchant processing for credit card, debit card and bank account payments

- Online payments without transaction fees to the merchant with VPSpay.com

- Mobile credit card processing with card present rates

- Beautiful, easy and modern online bill pay with VPS Pay

- Industry specific solutions for Education, Legal, Utilities and Government",http://virtualpaymentsystem.com/,@vpspay,https://angel.co/virtual-payment-systems,https://www.crunchbase.com/organization/virtual-payment-systems-inc#section-overview,"",false,
"","",Virtual Law Direct,"Los Angeles, CA, USA",2012,true,Marketplace - ,Unknown,Unknown,"Startups spend an average of $23,000 on legal fees. Imagine you had a resource available from your office or home to get the confidential legal advice you need, on the exact issue you need resolved, cutting out the usual costs and time.",http://www.virtuallawdirect.com/,"",https://angel.co/virtual-law-direct-3,https://www.crunchbase.com/organization/virtual-law-direct#section-overview,"",false,
"","",Vindula,"Sao Paulo, Brazil",2014,true,Practice Management - ,Companies,Legal Tech,"Vindula is a social intranet focused on improving communication between departments in companies. It also offers consulting and support services.

",vindula.com,@vindulaintranet,https://angel.co/vindula,https://www.crunchbase.com/organization/vindula,"",false,
"","",Wevorce,"San Mateo, CA, USA",2012,true,Document Automation - ,Individuals,Legal Service Using Tech,"Wevorce offers web-based technology and a community of trained attorneys, counselors, and other experts to help couples divorce amicably.",http://www.wevorce.com/,https://twitter.com/wevorce,https://angel.co/wevorce,http://www.crunchbase.com/organization/wevorce,divorce,false,
"",support@viewabill.com,Viewabill,"Colombus, OH, USA",2012,true,Analytics - ,Companies,Legal Service Using Tech,"Viewabill, a cloud-based technology, enables clients of legal, accounting, and consulting firms to monitor pre-bill activity in real-time.",http://www.viewabill.com,@Viewabill,https://angel.co/viewabill,http://www.crunchbase.com/organization/viewabill,"billing, management",false,
"",info@viditure.com,Viditure,"San Jose, CA, USA",2014,true,Practice Management -  Signing,Unknown,Legal Tech,"Viditure patent pending technology offers a disruptive service, which enables “video authorization” of any digital documents. It provides a fast and reliable method of signing documents across geographical regions. It guards against identity theft and fraud while promoting green technology. With Viditure, you are the only one who can authorize your documents.",viditure.com,"",https://angel.co/viditure-inc,https://www.crunchbase.com/organization/viditure,"",false,
"","",VentureDocs,"Fort Worth, Texas, United States",2011,true,Document Automation - ,Companies,Legal Service Using Tech,"VentureDocs sells customized legal documents over the web for forming and financing new startup companies. Specifically, this includes incorporation and founder documents, equity incentive plans and stock option agreements, and customizable documents for ""friends and family"" common stock financings and preferred stock and convertible note financings for institutional and sophisticated angel investor financings.",https://venturedocs.com/,https://twitter.com/VentureDocs,https://angel.co/venturedocs-1,http://www.crunchbase.com/organization/venturedocs,"documents, forms, incorporation, start-ups",false,
"","",VaultSwap,"Austin, TX, USA",2014,true,Document Automation - ,Unknown,Unknown,VaultSwap is the legal tool for efficient discovery exchange.,VaultSwap.com,"",https://angel.co/vaultswap,https://www.crunchbase.com/organization/vaultswap,"",false,
"","",Tyche,"New York, NY ",2014,true,Analytics - ,Unknown,Unknown,"Tyche aims to build predictive analytics for legal claim outcomes based on structured, proprietary settlement data by using public and proprietary data.",https://www.tycherisk.co/,@TycheRisk,https://angel.co/tyche,https://www.crunchbase.com/organization/tyche,"",false,
"","",Turner,"New York, NY, USA",2013,true,Document Automation -  Mac,Companies,Legal Tech,A full-featured application for working with contracts. Only for Mac.,http://www.papersoftware.com/,@papersoftware,n/a,https://www.crunchbase.com/organization/paper-software,"documents, contracts, app, mac",false,
"","","Tunnel X, Inc.","Brooklyn, New York, United States",2013,true,Practice Management - ,Unknown,Unknown,"TunnelX is a provider of private communication channels for individuals, groups, and businesses.",tunnelx.com,@tunnel_x,https://angel.co/tunnel-x-inc,https://www.crunchbase.com/organization/tunnel-x,"",false,
Anna Ronkainen,anna.ronkainen@onomatics.com,TrademarkNow,"New York, NY, USA",2012,true,Document Automation - ,Companies,Legal Tech,"TrademarkNow™ is a product of Onomatics Inc., a legal technology powerhouse specializing in intellectual property law. With decades of experience to draw from, we are seasoned professionals in both the software industry and intellectual property law – and it shows in the quality of our products.",https://www.trademarknow.com/,@TrademarkNow,https://angel.co/trademarknow,http://www.crunchbase.com/organization/trademarknow,"documents, intellectual property, automation, trademark",true,2015-06-04
"","",Heureka,"Cleveland, OH, USA",2014,true,Practice Management -  Discovery,Unknown,Unknown,"Gain unparalleled visibility and access into unstructured data throughout your network. Heureka gives organizations the ability to extract intelligence from dark data. Perfect for legal, regulatory, compliance and cybersecurity applications.",http://www.heurekasoftware.com/,"","","","",false,
,,Zapproved Inc,"Portland, OR, USA",2008,true,Practice Management - ,Unknown,Unknown,"Zapproved Inc. is a United States-based company engaged in developing cloud-hosted software for corporate in-house legal departments. The Company's Z-Discovery platform is characterized by ease-of-use, scalability of processing power, data security and accessibility. The Z-Discovery Platform is offered as a Software-as-a-Service (SaaS). It is comprised of a suite of cloud-based applications that offers a solution for managing the modern e-discovery process. The Company's products include Legal Hold Pro, Data Collect Pro and Digital Discovery Pro. Its Legal Hold Pro automates legal hold notification, collects request tracking and terminates employee data preservation. The Data Collect Pro provides remote data collection and early data assessment. The Digital Discovery Pro's solution includes data processing, culling, document review, tagging and exports.",http://www.zapproved.com,,,https://www.crunchbase.com/organization/zapproved,"",,
,,ZipCourt,"Palo Alto, CA, USA",2011,true,Online Dispute Resolution - ,Unknown,Unknown,"ZipCourt is an online courtroom with an elegant, clean design and can handle a range of disputes, from simple disagreements to complex disputes.",zipcourt.com,,,,"",,
,,accreditation.io,West Sacramento,2014,true,Document Automation - ,Individuals,Legal Service Using Tech,accreditation.io is a platform for startups & investors to easily create and share investor eligibility docs -- Now everyone can finally have paperwork OCD!,http://accreditation.io,https://twitter.com/get_accredited,https://angel.co/accreditation-io,"","documents, accreditation, investor",,
,,Access Family Law,"Michigan, USA",2014,true,Analytics,Individuals,Legal Tech,Access Family Law gives you a simple and affordable way to complete your divorce documents and manage your divorce case without an attorney.,https://www.accessfamilylaw.com/,"","","","",,
,,Block Notary,"San Jose, CA, USA",2015,true,Practice Management,Unknown,Unknown,"Video interviews for remote identity verification, fraud prevention and customer service automation. Blockchain enabled.
",www.blocknotary.com,"","","","",,
,,ZoundsHearing.com,"Phoenix, AZ, USA",2012,true,Practice Management - ,Unknown,Unknown,Hearing assistance technology.,http://www.zoundshearing.com/,"","","","",,
,,Excellara,"Toronto, ON, Canada",2015,true,Marketplace,Unknown,Unknown,Marketplace,https://www.linkedin.com/company/excellara,"","","","",,
,,Gadfly Legal Technologies,"Boston, MA, USA",2014,true,Document Automation,Unknown,Unknown,Document automation,http://www.gadflylt.com/	,"","","","",,
"","",Yuristiya,Russia,2014,true,Marketplace - ,Individuals,Legal Service Using Tech,Yuristiya is connecting anyone with a legal need to the best attorneys in the CIS region (ex-USSR) with 300 mln. Russian-speaking population.,yuristiya.com,"",https://angel.co/yuristiya,https://www.crunchbase.com/organization/yuristiya#section-overview,"",false,
"","",The Family Community ,"Portland, OR",2017,true,Marketplace - ,Unknown,Unknown,The court systems are inefficient bureaucracies that lack funds required to modernize.,https://www.thefamilycommunity.com/,@Fam_Community,https://angel.co/x2x-community,https://www.crunchbase.com/organization/x2x-community,"",false,
"","",Writora,"Philadelphia, PA, USA",2013,true,Document Automation - ,Individuals,Legal Tech,"Writora makes writing together better. Create a document and pick your team. See all changes made by anyone in one easy, intuitive view.",https://chrome.google.com/webstore/detail/writora-alpha/cojadepmhddfokaihkplmpheabcgpcbk?hl=en-US,@writora,https://angel.co/writora,https://www.crunchbase.com/organization/writora#section-overview,"",false,
"","",wireLawyer,"New York, NY, USA",2012,true,Marketplace - ,Service Providers,Legal Service Using Tech,"wireLawyer is the fastest-growing online community exclusively for lawyers. We are changing how small to mid-sized law firms (SMLs) do business by offering them the opportunity to network, collectively pool their resources, and refer and outsource work to each other. By enabling SMLs, we are creating the biggest virtual law firm in the world.",http://www.wirelawyer.com,@wireLawyer,https://angel.co/wirelawyer,http://www.crunchbase.com/organization/wirelawyer,"find-a-lawyer, referral, network",false,
"",john@startwillow.com,Willow,"San Francisco, CA, USA",2015,true,Document Automation -  Contracts,Unknown,Legal Tech,"Willow is the next generation of contract management software. Contracts have become an increasingly essential part of any business, and the lawyers, contract managers, or business people tasked with managing them are overwhelmed with data and underwhelmed by existing solutions.",startwillow.com,@startwillow,"",https://www.crunchbase.com/organization/willow,"",false,
"","",Virtual Viewbox,"San Antonio, TX, USA",2010,false,Practice Management - ,Unknown,Unknown,Virtual Viewbox is a medical provider collaboration solution and medicolegal interoperability platform operating within a private cloud network using Software as a Service model to create a private Health Information Exchange and Medical Collaboration Platform.,http://www.virtualviewbox.com/,"",https://angel.co/virtual-viewbox,https://www.crunchbase.com/organization/virtual-viewbox,"",false,
"",weedtraqr@gmail.com,WeedTraQR,"Seattle, WA, USA",2014,true,Document Automation - ,Unknown,Unknown,"WeedTraQR provides a mobile first web-application that helps marijuana producers, processors, distributors, QA Labs and retailers manager their traceability compliance data with their state regulations.",weedtraqr.com,@WeedTraQR,https://angel.co/weedtraqr,https://www.crunchbase.com/organization/weedtraqr,"",false,
"","",TopicLogic,"Bath, UK",2011,true,Practice Management - ,Unknown,Unknown,TopicLogic will provide federated information management which enables users to find and share all their files and emails wherever they are and on any device.,topiclogic.net,"",https://angel.co/topiclogic,https://www.crunchbase.com/organization/topiclogic,"",false,
"","",Axiom,"San Francisco, CA, USA",2000,true,Marketplace - ,Unknown,Unknown,"Transforming the Way Large Organizations Manage Legal Work.

Axiom is the global leading alternative legal services provider. With over 2,000+ employees across three continents, we provide talent and technology to help legal departments adapt to a demanding new era.",http://www.axiomlaw.com/,https://twitter.com/Axiom_Law,https://angel.co/axiom-law-redefined,https://www.crunchbase.com/organization/axiom,"",false,
,,Custom Counsel,"Portland, ME, USA",2015,true,Marketplace,Unknown,Legal Service Using Tech,"Custom Counsel
Serving Overworked Lawyers Everywhere 
On-Demand Freelance Attorneys, Paralegals, and Legal Assistants",www.customcounsel.com,"","","","",,
,,TeamPatent,"Oakland, CA, USA",2014,true,Practice Management - ,Unknown,Unknown,"TeamPatent is a semantically aware, real-time collaborative platform and collection of tools addressing the heart of what has heretofore been one of the more complex paper-based process in the world.",http://www.teampatent.com,"","","","",,
,,SecureSend,Pleasanton,2013,true,Practice Management - ,Unknown,Unknown,"Secure Send is the first choice for companies looking for an intuitive, efficient way to stay compliant by sending sensitive, confidential communications securely through the Internet. Help your company build trust - use Secure Send.",http://www.getsecuresend.com/,"","","","",,
,,Rpost,"Los Angeles, CA, USA",2000,true,Practice Management - ,Unknown,Unknown,"RPost has set the global standard for email proof, privacy, and electronic signatures offered as Registered Email services an all-inclusive platform for proof of email delivery, content and official time, proof of privacy compliance with end-to-end email encryption, and electronic signatures designed to speed contract sign-off in Outlook, IBM Lotus Notes, BlackBerry, iPad, iPhone, Android, GroupWise, VMware Zimbra, SAP, Salesforce.com, Box and other sender email programs.",http://rpost.com,"","","","",,
,,"AgileLaw, LLC","Austin, TX, USA",2011,true,Practice Management,Unknown,Unknown,"Electronic Exhibit Management for Visionary Litigators
Review, annotate, and share document exhibits from anywhere",www.agilelaw.com,"","","","",,
,,Resume Launchpad,"New York, NY, USA",2012,true,Marketplace - ,Unknown,Unknown,"Resume Launchpad makes applying to law firm jobs easy. Rather than emailing hundreds of laws firms one at a time, ResumÌ© Launchpad lets you apply to them all at once.",http://www.resumelaunchpad.com/,"","","","",,
,,Alt Legal,"New York, NY, USA",2013,true,Practice Management,Unknown,Unknown,Alt Legal makes your IP practice more productive.,www.altlegal.com,"","","","",,
"","",Bestlaw,"San Francisco, CA, USA",2013,true,Legal Research,Unknown,Unknown,A free app to add the features Westlaw and Lexis forgot,www.bestlaw.io,"","","","",true,2014-10-23
,,Habeas Corp.,"San Francisco, CA, USA",2013,true,Marketplace - ,Unknown,Unknown,"With Habeas: Find lawyers with the right expertise and experience for your needs , Connect with corporate counsel, Follow peers, colleagues, firms and clients, Craft a lawyer profile that gets you noticed",http://habeas.co,"","","","",,
,,Loudr,"San Francisco, CA, USA",2013,true,Document Automation - ,Unknown,Unknown,"Loudr builds products and services that make it easy for content creators, aggregators and digital music services to identify, track and pay music publishers. Powered by technology that parses song ownership information and matches sound recordings to composition rights holders, Loudr makes it easy to secure mechanical right clearance for song usage at scale.",http://loudr.fm,"","","","",,
,,Impera,"San Francisco, CA, USA",2012,true,Marketplace - ,Unknown,Unknown,Impera provides legal support for people who want to represent themselves. We are your guides in the world of law. Our objective is to help you find solutions without incurring legal bills that are disproportionate to the problem.,http://www.imperalegal.com/,"","","","",,
,,CarBack,"Baltimore, MD, USA",2014,true,Document Automation,Unknown,Unknown,Document automation,carback.us,"","","","",,
,,Fair and Square,"Dublin, Ireland",2013,true,Online Dispute Resolution,Unknown,Unknown,Online Dispute Resolution,www.fairandsquare.ie,"","","","",,
,,Free Law Project,"Berkeley, CA, USA",2010,true,Legal Research,Unknown,Unknown,Legal Research,www.free.law,"","","","",,
,,Jury Box,"San Diego, CA, USA",2013,true,Online Dispute Resolution - ,Unknown,Unknown,"Jury Box is a proven, well-reviewed software program which allows users to digitally manage all aspects of the jury selection process. Jury Box ends the pain of jury selection organization by allowing Its users to scrap the previously prevailing method of depending on Post-it Notes.",jurybox.com,"","","","",,
,,CaseFleet,"Atlanta, GA, USA",2015,true,Practice Management,Unknown,Unknown,Practice Management,www.casefleet.com,"","","","",,
,,CaseGlide,"Tampa, FL, USA",2014,true,Practice Management,Unknown,Unknown,Practice Management,www.caseglide.com,"","","","",,
